飞机	扁平矢量插画，儿童绘本风格，配色柔和明亮，一架白色客机在几朵白云之间飞行，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	飞机.jpg
爸爸	扁平矢量插画，儿童绘本风格，配色柔和明亮，一位微笑的爸爸抱着小女儿，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	爸爸.jpg
妈妈	扁平矢量插画，儿童绘本风格，配色柔和明亮，一位温柔的妈妈抱着一个婴儿，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	妈妈.jpg
杯子	扁平矢量插画，儿童绘本风格，配色柔和明亮，一个透明玻璃杯，装着半杯清水，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	杯子.jpg
北京	扁平矢量插画，儿童绘本风格，配色柔和明亮，北京天坛祈年殿，蓝色琉璃瓦圆形屋顶，金色宝顶，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	北京.jpg
工作	扁平矢量插画，儿童绘本风格，配色柔和明亮，一个人在办公桌前使用电脑工作，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	工作.jpg
买	扁平矢量插画，儿童绘本风格，配色柔和明亮，一位阿姨提着菜篮在菜摊前挑选蔬菜，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	买.jpg
狗	扁平矢量插画，儿童绘本风格，配色柔和明亮，一只棕色小狗坐着，吐着舌头微笑，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	狗.jpg
猫	扁平矢量插画，儿童绘本风格，配色柔和明亮，一只橘色小猫坐着，尾巴卷在身前，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	猫.jpg
菜	扁平矢量插画，儿童绘本风格，配色柔和明亮，一盘色彩丰富的炒蔬菜，有西兰花、胡萝卜和青椒，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	菜.jpg
米饭	扁平矢量插画，儿童绘本风格，配色柔和明亮，一碗冒着热气的白米饭，碗沿放着一双筷子，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	米饭.jpg
茶	扁平矢量插画，儿童绘本风格，配色柔和明亮，一杯冒着热气的清茶，旁边放着一个小茶壶，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	茶.jpg
喝	扁平矢量插画，儿童绘本风格，配色柔和明亮，一个小男孩双手捧着杯子喝水，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	喝.jpg
吃	扁平矢量插画，儿童绘本风格，配色柔和明亮，一个小女孩拿着筷子吃饭，面前放着一碗米饭，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	吃.jpg
出租车	扁平矢量插画，儿童绘本风格，配色柔和明亮，一辆黄色出租车，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	出租车.jpg
打电话	扁平矢量插画，儿童绘本风格，配色柔和明亮，一位男士把手机贴在耳边打电话，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	打电话.jpg
电脑	扁平矢量插画，儿童绘本风格，配色柔和明亮，一台打开的笔记本电脑，屏幕空白，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	电脑.jpg
家	扁平矢量插画，儿童绘本风格，配色柔和明亮，一座带红色屋顶的温馨房子，门前站着爸爸、妈妈和孩子，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	家.jpg
电视	扁平矢量插画，儿童绘本风格，配色柔和明亮，一台平板电视机放在电视柜上，屏幕空白，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	电视.jpg
电影	扁平矢量插画，儿童绘本风格，配色柔和明亮，一桶爆米花、一副3D眼镜和一盘电影胶片，主体居中占画面大部分，浅米色纯色背景，画面简洁无文字无字母无水印，正方形构图	电影.jpg
